Year,country,ladder_score,gdp_per_capita,generosity,social_support,corruption
2016,Palestinian Territories,4.754,0.67024,0.11154,0.71629,0.10613
2022,Malaysia,5.711,,,,
2020,Zambia,3.759399891,8.224720001,0.078037128,0.698824465,0.801289678
2023,Congo (Brazzaville),5.267,8.095,-0.004,0.605,0.739
2019,Somalia,4.668,0.000,0.243,0.698,0.270
2020,Botswana,3.478899956,9.711203575,-0.250394493,0.779121757,0.777930915
2018,Algeria,5.295,0.979,0.055,1.154,0.135
2019,Lithuania,6.149,1.238,0.043,1.515,0.042
2023,Turkiye,4.614,10.307,-0.077,0.796,0.795
2021,Slovakia,6.331,10.369,-0.124,0.936,0.911
2016,Hungary,5.145,1.24142,0.099,0.93164,0.04472
2023,China,5.818,9.738,-0.041,0.836,0.727
2017,Zambia,4.51399993896484,0.636406779289246,0.249580144882202,1.00318729877472,0.0782135501503944
2020,Niger,4.909599781,6.842166901,0.013860817,0.617435038,0.722530186
2020,Costa Rica,7.121399879,9.658156395,-0.10242971,0.901545942,0.786332428
2016,Somaliland Region,5.057,0.25558,0.51479,0.75862,0.36794
2019,Brazil,6.300,1.004,0.099,1.439,0.086
2019,Latvia,5.940,1.187,0.075,1.465,0.064
2021,Vietnam,5.411,8.973,-0.098,0.85,0.796
2017,Canada,7.31599998474121,1.47920441627502,0.435539722442627,1.48134899139404,0.287371516227722
2020,Ireland,7.093699932,11.16097832,0.145784974,0.942081571,0.357184172
2021,Nigeria,4.759,8.533,0.037,0.74,0.878
2022,Sweden,7.384,,,,
2021,Tanzania,3.623,7.876,0.183,0.702,0.577
2017,Switzerland,7.49399995803833,1.56497955322266,0.290549278259277,1.51691174507141,0.367007285356522
2015,Costa Rica,7.226,0.95578,0.25497,1.23788,0.10583
2019,New Zealand,7.307,1.303,0.330,1.557,0.380
2023,Armenia,5.342,9.615,-0.155,0.790,0.705
2020,Senegal,4.980800152,8.118982315,-0.052335154,0.723616004,0.808785141
2021,Italy,6.483,10.623,-0.084,0.88,0.866
2019,Palestinian Territories,4.696,0.657,0.103,1.247,0.066
2022,Jordan,4.152,,,,
2020,Nepal,5.137199879,7.925357342,0.154168829,0.785512447,0.738099158
2019,Malta,6.726,1.300,0.375,1.520,0.151
2018,United Arab Emirates,6.774,2.096,0.186,0.776,
2021,Portugal,5.929,10.421,-0.244,0.879,0.887
