,Year,Country,ladder_score,gdp_per_capita,generosity,social_support,corruption,Rank,Platform,Sentiment,Hashtags
16,2019,Brazil,6.3,1.004,0.099,1.439,0.086,32.0,Twitter,Heartbreak, #Heartbreak #CalmAfterStorm 
18,2019,Brazil,6.3,1.004,0.099,1.439,0.086,32.0,Twitter,Disappointment, #Disappointment #SoccerDefeats 
22,2017,Canada,7.31599998474121,1.47920441627502,0.435539722442627,1.48134899139404,0.287371516227722,7.0,Facebook,Envy, #Envy #Success                              
70,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Instagram,Helplessness, #Helplessness #Struggling                   
71,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Instagram,Loneliness, #Loneliness #YearningForConnection         
72,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Instagram,Melancholy, #Melancholy #SunsetMoments                 
73,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Instagram,Numbness, #Numbness #StoicFacade                    
74,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Facebook,Loneliness, #Loneliness #SolitaryNocturne 
75,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Twitter,Jealous, #Jealous #HeartOfDiscontent 
76,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Facebook,Loneliness, #Loneliness #SolitaryNocturne 
77,2019,Australia,7.228,1.372,0.332,1.548,0.29,11.0,Twitter,Loss, #Loss #ForgottenLove 
122,2017,UK,6.71400022506714,1.44163393974304,0.492774158716202,1.49646008014679,0.265428066253662,19.0,Twitter,Melancholy, #Melancholy #QuietSerenade             
187,2019,USA,6.892,1.433,0.28,1.457,0.128,19.0,Facebook,Jealous, #Jealous #GreenEyedMonster 
190,2019,USA,6.892,1.433,0.28,1.457,0.128,19.0,Instagram,Heartbreak, #Heartbreak #LostLove                    
201,2017,Australia,7.28399991989136,1.484414935112,0.477699249982834,1.51004195213318,0.301183730363846,9.0,Twitter,Desolation, #Desolation #ScatteredHope 
202,2017,Australia,7.28399991989136,1.484414935112,0.477699249982834,1.51004195213318,0.301183730363846,9.0,Facebook,Despair, #Despair #EndlessReverberation 
332,2023,USA,6.894,11.048,0.137,0.919,0.689,15.0,Twitter,Sad, #SchoolChallenges #HighSchoolStruggles 
333,2023,USA,6.894,11.048,0.137,0.919,0.689,15.0,Twitter,Sad, #Disappointment #HighSchoolSports 
334,2023,USA,6.894,11.048,0.137,0.919,0.689,15.0,Twitter,Sad, #LifeChallenges #HighSchoolStruggles 
335,2023,USA,6.894,11.048,0.137,0.919,0.689,15.0,Twitter,Bad, #BadLuck #HighSchoolWeather 
336,2023,USA,6.894,11.048,0.137,0.919,0.689,15.0,Twitter,Bad, #BadLuckDay #HighSchoolStruggles 
337,2023,USA,6.894,11.048,0.137,0.919,0.689,15.0,Twitter,Hate, #OnlineGaming #HighSchoolGamer 
338,2023,USA,6.894,11.048,0.137,0.919,0.689,15.0,Twitter,Hate, #OnlineOpinions #HighSchoolCriticism 
348,2016,USA,7.104,1.50796,0.41077,1.04782,0.14868,13.0,Instagram,Despair, #Despair #Hopeless                           
